NCM	Início de vigência da NCM	Fim de vigência da NCM	uTrib para uso em operações de Exportação (Abreviatura)	Descrição da uTrib utilizada em operações de Exportação
08021100	42370	48		Quilograma
08021200	42370	48		Quilograma
08022100	42370	48		Quilograma
08022200	42370	48		Quilograma
08023100	42370	48		Quilograma
08023200	42370	48		Quilograma
08024100	42370	48		Quilograma
08024200	42370	48		Quilograma
08025100	42370	48		Quilograma
08025200	42370	48		Quilograma
08026100	42370	48		Quilograma
08026200	42370	48		Quilograma
08027000	42370	48		Quilograma
08028000	42370	48		Quilograma
08029100	44652	48		Quilograma
08029200	44652	48		Quilograma
08029900	44652	48		Quilograma
08031000	42370	48		Quilograma
08039000	42370	48		Quilograma
08041010	42370	48		Quilograma
08041020	42370	48		Quilograma
08042010	42370	48		Quilograma
08042020	42370	48		Quilograma
08043000	42370	48		Quilograma
08044000	42370	48		Quilograma
08045010	42370	48		Quilograma
08045020	42370	48		Quilograma
08045030	42370	48		Quilograma
08051000	42370	48		Quilograma
08052100	42736	48		Quilograma
08052200	42736	48		Quilograma
08052900	42736	48		Quilograma
08054000	42370	48		Quilograma
08055000	42370	48		Quilograma
08059000	42370	48		Quilograma
08061000	42370	48		Quilograma
08062000	42370	48		Quilograma
08071100	42370	48		Quilograma
08071900	42370	48		Quilograma
08072000	42370	48		Quilograma
08081000	42370	48		Quilograma
08083000	42370	48		Quilograma
08084000	42370	48		Quilograma
08091000	42370	48		Quilograma
08092100	42370	48		Quilograma
08092900	42370	48		Quilograma
08093010	42370	48		Quilograma
08093020	42370	48		Quilograma
08094000	42370	48		Quilograma
08101000	42370	48		Quilograma
08102000	42370	48		Quilograma
08103000	42370	48		Quilograma
08104000	42370	48		Quilograma
08105000	42370	48		Quilograma
08106000	42370	48		Quilograma
08107000	42370	48		Quilograma
08109011	42917	48		Quilograma
08109012	42917	48		Quilograma
08109013	42917	48		Quilograma
08109014	42917	48		Quilograma
08109015	42917	48		Quilograma
08109016	42917	48		Quilograma
08109017	42917	48		Quilograma
08109090	42917	48		Quilograma
08111000	42370	48		Quilograma
08112000	42370	48		Quilograma
08119000	42370	48		Quilograma
08121000	42370	48		Quilograma
08129000	42370	48		Quilograma
08131000	42370	48		Quilograma
08132010	42370	48		Quilograma
08132020	42370	48		Quilograma
08133000	42370	48		Quilograma
08134010	42370	48		Quilograma
08134090	42370	48		Quilograma
08135000	42370	48		Quilograma
08140000	42370	48		Quilograma
09011110	42370	720		Tonel Metr Liquida
09011190	42370	48		Quilograma
09011200	42370	48		Quilograma
09012100	42370	48		Quilograma
09012200	42370	48		Quilograma
09019000	42370	48		Quilograma
09021000	42370	48		Quilograma
09022000	42370	48		Quilograma
09023000	42370	48		Quilograma
09024000	42370	48		Quilograma
09030010	42370	48		Quilograma
09030090	42370	48		Quilograma
09041100	42370	48		Quilograma
09041200	42370	48		Quilograma
09042100	42370	48		Quilograma
09042200	42370	48		Quilograma
09051000	42370	48		Quilograma
